case_id,pdf_path,docling_json_path,page_count,empty_pages,num_empty_pages
case_10937,data/cases/ny_classification/case_10937/documents/document_6KaHR_PLUS_inpeIZKEyKmsUqAA==.pdf,data/extraction/ny_classification/case_10937/docling/documents/document_6KaHR_PLUS_inpeIZKEyKmsUqAA==.docling.json,74,71;72,2
case_10937,data/cases/ny_classification/case_10937/documents/document_HV_PLUS_48_IPt94dyt2nj8pc0Q==.pdf,data/extraction/ny_classification/case_10937/docling/documents/document_HV_PLUS_48_IPt94dyt2nj8pc0Q==.docling.json,72,70;71,2
case_10949,data/cases/ny_classification/case_10949/documents/document_de7og2exE4PktWia6sNksg==.pdf,data/extraction/ny_classification/case_10949/docling/documents/document_de7og2exE4PktWia6sNksg==.docling.json,71,70;71,2
case_11008,data/cases/ny_classification/case_11008/documents/document_xpXtxHrBAOhN5znUqb1myQ==.pdf,data/extraction/ny_classification/case_11008/docling/documents/document_xpXtxHrBAOhN5znUqb1myQ==.docling.json,71,70;71,2
case_11010,data/cases/ny_classification/case_11010/documents/document_v6_tiLajzzxRRf6qoVtTJw==.pdf,data/extraction/ny_classification/case_11010/docling/documents/document_v6_tiLajzzxRRf6qoVtTJw==.docling.json,71,70;71,2
case_11222,data/cases/ny_classification/case_11222/documents/document_40ZX7_PLUS_D8CnTLE4wss9P_PLUS_cQ==.pdf,data/extraction/ny_classification/case_11222/docling/documents/document_40ZX7_PLUS_D8CnTLE4wss9P_PLUS_cQ==.docling.json,3,2,1
case_11222,data/cases/ny_classification/case_11222/documents/document_BgCgUF6i6LMYnoDjkok7wA==.pdf,data/extraction/ny_classification/case_11222/docling/documents/document_BgCgUF6i6LMYnoDjkok7wA==.docling.json,68,61,1
case_11222,data/cases/ny_classification/case_11222/documents/document_UqSJOoQowcUWDhDJXvjxFA==.pdf,data/extraction/ny_classification/case_11222/docling/documents/document_UqSJOoQowcUWDhDJXvjxFA==.docling.json,3,2,1
case_11222,data/cases/ny_classification/case_11222/documents/document_Y6435TWlUS7y05EYWAPFRA==.pdf,data/extraction/ny_classification/case_11222/docling/documents/document_Y6435TWlUS7y05EYWAPFRA==.docling.json,63,58,1
case_11222,data/cases/ny_classification/case_11222/documents/document_soEiLl6cqUQ44Nbw_HBJ5g==.pdf,data/extraction/ny_classification/case_11222/docling/documents/document_soEiLl6cqUQ44Nbw_HBJ5g==.docling.json,7,2,1
case_11227,data/cases/ny_classification/case_11227/documents/document_7t92cXphla6iqMWx2y5JiA==.pdf,data/extraction/ny_classification/case_11227/docling/documents/document_7t92cXphla6iqMWx2y5JiA==.docling.json,64,58,1
case_11227,data/cases/ny_classification/case_11227/documents/document_7zZrDOV2XrhXDWdS_Fy0wQ==.pdf,data/extraction/ny_classification/case_11227/docling/documents/document_7zZrDOV2XrhXDWdS_Fy0wQ==.docling.json,3,2,1
case_11227,data/cases/ny_classification/case_11227/documents/document_9_fHo7_PLUS_Kqrdln3q26cWJwQ==.pdf,data/extraction/ny_classification/case_11227/docling/documents/document_9_fHo7_PLUS_Kqrdln3q26cWJwQ==.docling.json,63,58,1
case_11227,data/cases/ny_classification/case_11227/documents/document_WkKPuDG4WjDwB5Aozjh47Q==.pdf,data/extraction/ny_classification/case_11227/docling/documents/document_WkKPuDG4WjDwB5Aozjh47Q==.docling.json,3,2,1
case_11227,data/cases/ny_classification/case_11227/documents/document_X7cjKqnJNW80IXdfphQMVg==.pdf,data/extraction/ny_classification/case_11227/docling/documents/document_X7cjKqnJNW80IXdfphQMVg==.docling.json,63,58,1
case_11227,data/cases/ny_classification/case_11227/documents/document_pzmjhv132fjm7xDNqjzvQQ==.pdf,data/extraction/ny_classification/case_11227/docling/documents/document_pzmjhv132fjm7xDNqjzvQQ==.docling.json,7,2,1
case_11240,data/cases/ny_classification/case_11240/documents/document_22LJM78f5NYlOz6JYoZdig==.pdf,data/extraction/ny_classification/case_11240/docling/documents/document_22LJM78f5NYlOz6JYoZdig==.docling.json,63,58,1
case_11240,data/cases/ny_classification/case_11240/documents/document_LLDcpsG_lPUsIMgoUSt9BQ==.pdf,data/extraction/ny_classification/case_11240/docling/documents/document_LLDcpsG_lPUsIMgoUSt9BQ==.docling.json,3,2,1
case_11240,data/cases/ny_classification/case_11240/documents/document_WYpq7eOvdTDP4AZlxB7cVA==.pdf,data/extraction/ny_classification/case_11240/docling/documents/document_WYpq7eOvdTDP4AZlxB7cVA==.docling.json,7,2,1
case_11240,data/cases/ny_classification/case_11240/documents/document_ejigKYYFQ2wJyPMqi7ynaw==.pdf,data/extraction/ny_classification/case_11240/docling/documents/document_ejigKYYFQ2wJyPMqi7ynaw==.docling.json,68,61,1
case_11240,data/cases/ny_classification/case_11240/documents/document_hxZiV3oWTIF2I_94Iew_FA==.pdf,data/extraction/ny_classification/case_11240/docling/documents/document_hxZiV3oWTIF2I_94Iew_FA==.docling.json,3,2,1
case_11261,data/cases/ny_classification/case_11261/documents/document_NRKP2P9RhNGv6FaDGTwMBA==.pdf,data/extraction/ny_classification/case_11261/docling/documents/document_NRKP2P9RhNGv6FaDGTwMBA==.docling.json,63,58,1
case_11261,data/cases/ny_classification/case_11261/documents/document_OwiRnMkVFpCKpKZ8sdS8ww==.pdf,data/extraction/ny_classification/case_11261/docling/documents/document_OwiRnMkVFpCKpKZ8sdS8ww==.docling.json,3,2,1
case_11261,data/cases/ny_classification/case_11261/documents/document_Xv_p4DWyj7zA0QX9WzxmFQ==.pdf,data/extraction/ny_classification/case_11261/docling/documents/document_Xv_p4DWyj7zA0QX9WzxmFQ==.docling.json,68,61,1
case_11261,data/cases/ny_classification/case_11261/documents/document_owC2HbzoOqb2pLUFgY3LOA==.pdf,data/extraction/ny_classification/case_11261/docling/documents/document_owC2HbzoOqb2pLUFgY3LOA==.docling.json,7,2,1
case_11263,data/cases/ny_classification/case_11263/documents/document_Z_PLUS_3p3_0tQ6gBDm4HPfkhvw==.pdf,data/extraction/ny_classification/case_11263/docling/documents/document_Z_PLUS_3p3_0tQ6gBDm4HPfkhvw==.docling.json,178,170,1
case_11266,data/cases/ny_classification/case_11266/documents/document_hwEgSbDncvuEcZsVCdiZ0A==.pdf,data/extraction/ny_classification/case_11266/docling/documents/document_hwEgSbDncvuEcZsVCdiZ0A==.docling.json,71,70;71,2
case_11350,data/cases/ny_classification/case_11350/documents/document_9XLCMWMwhwHvMcrBqV5ajw==.pdf,data/extraction/ny_classification/case_11350/docling/documents/document_9XLCMWMwhwHvMcrBqV5ajw==.docling.json,7,2,1
case_11350,data/cases/ny_classification/case_11350/documents/document_BRLV5ceBBloiE3jrgdMIqg==.pdf,data/extraction/ny_classification/case_11350/docling/documents/document_BRLV5ceBBloiE3jrgdMIqg==.docling.json,63,58,1
case_11350,data/cases/ny_classification/case_11350/documents/document_Rhs2Ug5i1HXpLb3ppVg_PLUS_sA==.pdf,data/extraction/ny_classification/case_11350/docling/documents/document_Rhs2Ug5i1HXpLb3ppVg_PLUS_sA==.docling.json,68,61,1
case_11350,data/cases/ny_classification/case_11350/documents/document_dQmY3BBdvomNN5KQSQuJXg==.pdf,data/extraction/ny_classification/case_11350/docling/documents/document_dQmY3BBdvomNN5KQSQuJXg==.docling.json,3,2,1
case_11367,data/cases/ny_classification/case_11367/documents/document_lRBe5_PLUS_aGofWcregLNXpwFQ==.pdf,data/extraction/ny_classification/case_11367/docling/documents/document_lRBe5_PLUS_aGofWcregLNXpwFQ==.docling.json,178,170,1
case_11384,data/cases/ny_classification/case_11384/documents/document_l7dm9H711TRceYek8Kx7Iw==.pdf,data/extraction/ny_classification/case_11384/docling/documents/document_l7dm9H711TRceYek8Kx7Iw==.docling.json,178,170,1
case_11386,data/cases/ny_classification/case_11386/documents/document_UsXghkFOY_PLUS_7kTnqxigX3zQ==.pdf,data/extraction/ny_classification/case_11386/docling/documents/document_UsXghkFOY_PLUS_7kTnqxigX3zQ==.docling.json,2,2,1
case_11387,data/cases/ny_classification/case_11387/documents/document_H1mw2S8eZ2r3XeEdUd_Hcg==.pdf,data/extraction/ny_classification/case_11387/docling/documents/document_H1mw2S8eZ2r3XeEdUd_Hcg==.docling.json,7,2,1
case_11387,data/cases/ny_classification/case_11387/documents/document_PYvZg46dVemDPPNs_PLUS_OSHIQ==.pdf,data/extraction/ny_classification/case_11387/docling/documents/document_PYvZg46dVemDPPNs_PLUS_OSHIQ==.docling.json,68,61,1
case_11387,data/cases/ny_classification/case_11387/documents/document_Sg_PLUS_cu7j4ZalFFipYObNzjg==.pdf,data/extraction/ny_classification/case_11387/docling/documents/document_Sg_PLUS_cu7j4ZalFFipYObNzjg==.docling.json,63,58,1
case_11387,data/cases/ny_classification/case_11387/documents/document_iI_ncO4CVoFn6avTHj6qEg==.pdf,data/extraction/ny_classification/case_11387/docling/documents/document_iI_ncO4CVoFn6avTHj6qEg==.docling.json,3,2,1
case_11387,data/cases/ny_classification/case_11387/documents/document_rtql6jyqHudZ9GocBHGCDQ==.pdf,data/extraction/ny_classification/case_11387/docling/documents/document_rtql6jyqHudZ9GocBHGCDQ==.docling.json,3,2,1
case_11395,data/cases/ny_classification/case_11395/documents/document_Kfc_PLUS_lSaA4ZDN8dcNy8ojYg==.pdf,data/extraction/ny_classification/case_11395/docling/documents/document_Kfc_PLUS_lSaA4ZDN8dcNy8ojYg==.docling.json,3,2,1
case_11395,data/cases/ny_classification/case_11395/documents/document_aon7G_PLUS_sKEKm3R6jWEvYRsA==.pdf,data/extraction/ny_classification/case_11395/docling/documents/document_aon7G_PLUS_sKEKm3R6jWEvYRsA==.docling.json,68,61,1
case_11395,data/cases/ny_classification/case_11395/documents/document_iF8ZjMA0OHp3edYHOU0AFw==.pdf,data/extraction/ny_classification/case_11395/docling/documents/document_iF8ZjMA0OHp3edYHOU0AFw==.docling.json,7,2,1
case_11395,data/cases/ny_classification/case_11395/documents/document_o_PLUS_f_qzJydqbvSLnjaEXwJA==.pdf,data/extraction/ny_classification/case_11395/docling/documents/document_o_PLUS_f_qzJydqbvSLnjaEXwJA==.docling.json,63,58,1
case_11400,data/cases/ny_classification/case_11400/documents/document_18E1uWVDnSqruYPSYkGd4g==.pdf,data/extraction/ny_classification/case_11400/docling/documents/document_18E1uWVDnSqruYPSYkGd4g==.docling.json,68,61,1
case_11400,data/cases/ny_classification/case_11400/documents/document_OwMlT_PLUS_sKSAn7yZmHLPhJ3A==.pdf,data/extraction/ny_classification/case_11400/docling/documents/document_OwMlT_PLUS_sKSAn7yZmHLPhJ3A==.docling.json,63,58,1
case_11400,data/cases/ny_classification/case_11400/documents/document_U_PLUS_FRUg9tZ2Pelry6UX5DTg==.pdf,data/extraction/ny_classification/case_11400/docling/documents/document_U_PLUS_FRUg9tZ2Pelry6UX5DTg==.docling.json,3,2,1
case_11400,data/cases/ny_classification/case_11400/documents/document_oq3A1rv_PLUS_73fq1pIixWfr6A==.pdf,data/extraction/ny_classification/case_11400/docling/documents/document_oq3A1rv_PLUS_73fq1pIixWfr6A==.docling.json,7,2,1
case_11410,data/cases/ny_classification/case_11410/documents/document_VdbYxrQxYsqo3oRLP9R1nA==.pdf,data/extraction/ny_classification/case_11410/docling/documents/document_VdbYxrQxYsqo3oRLP9R1nA==.docling.json,124,57;115;117,3
case_11410,data/cases/ny_classification/case_11410/documents/document_e_ssfh4g67svzPKH5Wd_VQ==.pdf,data/extraction/ny_classification/case_11410/docling/documents/document_e_ssfh4g67svzPKH5Wd_VQ==.docling.json,182,109;168;170;174,4
case_11456,data/cases/ny_classification/case_11456/documents/document_RKBixBPd4vQfvN1545kdgw==.pdf,data/extraction/ny_classification/case_11456/docling/documents/document_RKBixBPd4vQfvN1545kdgw==.docling.json,25,6;25,2
case_11458,data/cases/ny_classification/case_11458/documents/document_LpJYaTlLDgj7_Fzi27Bvsw==.pdf,data/extraction/ny_classification/case_11458/docling/documents/document_LpJYaTlLDgj7_Fzi27Bvsw==.docling.json,3,2,1
case_11458,data/cases/ny_classification/case_11458/documents/document_SQoVFzBbygdzlyPmKyB_PLUS_iQ==.pdf,data/extraction/ny_classification/case_11458/docling/documents/document_SQoVFzBbygdzlyPmKyB_PLUS_iQ==.docling.json,63,58,1
case_11458,data/cases/ny_classification/case_11458/documents/document_bEQSRGH2UI2wUY9mfXVJCA==.pdf,data/extraction/ny_classification/case_11458/docling/documents/document_bEQSRGH2UI2wUY9mfXVJCA==.docling.json,7,2,1
case_11458,data/cases/ny_classification/case_11458/documents/document_hhDpWMfeCcEWNLNDdDEwxQ==.pdf,data/extraction/ny_classification/case_11458/docling/documents/document_hhDpWMfeCcEWNLNDdDEwxQ==.docling.json,3,2,1
case_11458,data/cases/ny_classification/case_11458/documents/document_nk9qWHXNHrWIWQPZrWIl1g==.pdf,data/extraction/ny_classification/case_11458/docling/documents/document_nk9qWHXNHrWIWQPZrWIl1g==.docling.json,68,61,1
case_11462,data/cases/ny_classification/case_11462/documents/document_OOJca2JNTN0MupRvzXc7Dw==.pdf,data/extraction/ny_classification/case_11462/docling/documents/document_OOJca2JNTN0MupRvzXc7Dw==.docling.json,178,170,1
case_11486,data/cases/ny_classification/case_11486/documents/document_hXb4IgcgoaVQ0rNFb9M8ww==.pdf,data/extraction/ny_classification/case_11486/docling/documents/document_hXb4IgcgoaVQ0rNFb9M8ww==.docling.json,63,58,1
case_11486,data/cases/ny_classification/case_11486/documents/document_zDR1oIg2G2uxaZJ31q4GHw==.pdf,data/extraction/ny_classification/case_11486/docling/documents/document_zDR1oIg2G2uxaZJ31q4GHw==.docling.json,68,61,1
case_11487,data/cases/ny_classification/case_11487/documents/document_25q0KwUQfDTfUFfmT6C7qQ==.pdf,data/extraction/ny_classification/case_11487/docling/documents/document_25q0KwUQfDTfUFfmT6C7qQ==.docling.json,124,57;115;117,3
case_11487,data/cases/ny_classification/case_11487/documents/document_VrPhK6d84Q84oKKsYpZc8g==.pdf,data/extraction/ny_classification/case_11487/docling/documents/document_VrPhK6d84Q84oKKsYpZc8g==.docling.json,182,109;168;170;174,4
case_11499,data/cases/ny_classification/case_11499/documents/document_FeXdjc8dpa_o_e7Nu24mwQ==.pdf,data/extraction/ny_classification/case_11499/docling/documents/document_FeXdjc8dpa_o_e7Nu24mwQ==.docling.json,71,70;71,2
case_11768,data/cases/ny_classification/case_11768/documents/document_wocZb9G4RHdEVq0sFSz2TQ==.pdf,data/extraction/ny_classification/case_11768/docling/documents/document_wocZb9G4RHdEVq0sFSz2TQ==.docling.json,2,2,1
case_13481,data/cases/ny_classification/case_13481/documents/document_V5zNx2RYSYLsNrCIMjEAHg==.pdf,data/extraction/ny_classification/case_13481/docling/documents/document_V5zNx2RYSYLsNrCIMjEAHg==.docling.json,58,52;56,2
case_13525,data/cases/ny_classification/case_13525/documents/document_Kc5al7wt0LqOkEQISa2nGQ==.pdf,data/extraction/ny_classification/case_13525/docling/documents/document_Kc5al7wt0LqOkEQISa2nGQ==.docling.json,42,8,1
case_13525,data/cases/ny_classification/case_13525/documents/document_Pym4SKoj5uWKkpS01TcRkw==.pdf,data/extraction/ny_classification/case_13525/docling/documents/document_Pym4SKoj5uWKkpS01TcRkw==.docling.json,42,8,1
case_13546,data/cases/ny_classification/case_13546/documents/document_QSH8Is4i59iBBE2Pjx5w0A==.pdf,data/extraction/ny_classification/case_13546/docling/documents/document_QSH8Is4i59iBBE2Pjx5w0A==.docling.json,11,6,1
case_14319,data/cases/ny_classification/case_14319/documents/document_icxFof_PLUS_Mptft8BmA1Bf5nA==.pdf,data/extraction/ny_classification/case_14319/docling/documents/document_icxFof_PLUS_Mptft8BmA1Bf5nA==.docling.json,84,74;75,2
case_16400,data/cases/ny_classification/case_16400/documents/document_ix54VQqhFSQLUu5Bwpb9HQ==.pdf,data/extraction/ny_classification/case_16400/docling/documents/document_ix54VQqhFSQLUu5Bwpb9HQ==.docling.json,8,2;4;7,3
case_16401,data/cases/ny_classification/case_16401/documents/document_pJ5KklvKFfkxyXkYnZ301Q==.pdf,data/extraction/ny_classification/case_16401/docling/documents/document_pJ5KklvKFfkxyXkYnZ301Q==.docling.json,8,2;4;7,3
case_17772,data/cases/ny_classification/case_17772/documents/document_8p4kSvvpus30YsQ8BfOJuA==.pdf,data/extraction/ny_classification/case_17772/docling/documents/document_8p4kSvvpus30YsQ8BfOJuA==.docling.json,7,2;4,2
case_20992,data/cases/ny_classification/case_20992/documents/document_uvgUziuXvpbeIEtAFl_PLUS_BEw==.pdf,data/extraction/ny_classification/case_20992/docling/documents/document_uvgUziuXvpbeIEtAFl_PLUS_BEw==.docling.json,10,3;5;9,3
case_23974,data/cases/ny_classification/case_23974/documents/document_wNykryWw_UxMqu3qNtUZDA==.pdf,data/extraction/ny_classification/case_23974/docling/documents/document_wNykryWw_UxMqu3qNtUZDA==.docling.json,7,2;4,2
case_26895,data/cases/ny_classification/case_26895/documents/document_Jsw2uTVcS1SUoD_7Vp_Inw==.pdf,data/extraction/ny_classification/case_26895/docling/documents/document_Jsw2uTVcS1SUoD_7Vp_Inw==.docling.json,7,2;4,2
case_27911,data/cases/ny_classification/case_27911/documents/document_FPDbY_PLUS_kowV9tAQCIr5UEqw==.pdf,data/extraction/ny_classification/case_27911/docling/documents/document_FPDbY_PLUS_kowV9tAQCIr5UEqw==.docling.json,7,2;4,2
case_28784,data/cases/ny_classification/case_28784/documents/document_weocvHKriQE6CnTQlVAZnQ==.pdf,data/extraction/ny_classification/case_28784/docling/documents/document_weocvHKriQE6CnTQlVAZnQ==.docling.json,7,2;4,2
case_28785,data/cases/ny_classification/case_28785/documents/document_G_FxwYZSz_2ZKTx2Q2TgbA==.pdf,data/extraction/ny_classification/case_28785/docling/documents/document_G_FxwYZSz_2ZKTx2Q2TgbA==.docling.json,7,2;4,2
case_29044,data/cases/ny_classification/case_29044/documents/document_Jqz2Uo9qy1FR3LyYUDtveg==.pdf,data/extraction/ny_classification/case_29044/docling/documents/document_Jqz2Uo9qy1FR3LyYUDtveg==.docling.json,7,2;4,2
case_29665,data/cases/ny_classification/case_29665/documents/document_UzEdEpY92vPfh_PLUS_4yBZk_GQ==.pdf,data/extraction/ny_classification/case_29665/docling/documents/document_UzEdEpY92vPfh_PLUS_4yBZk_GQ==.docling.json,21,13,1
case_29827,data/cases/ny_classification/case_29827/documents/document_emhA8OeufoN_F6YChK2Yog==.pdf,data/extraction/ny_classification/case_29827/docling/documents/document_emhA8OeufoN_F6YChK2Yog==.docling.json,7,2;4,2
case_41473,data/cases/ny_classification/case_41473/documents/document_QWs1WyzSPSmRYzqXi7za8g==.pdf,data/extraction/ny_classification/case_41473/docling/documents/document_QWs1WyzSPSmRYzqXi7za8g==.docling.json,12,2,1
case_41678,data/cases/ny_classification/case_41678/documents/document_bu8_PLUS_YIwCyet_PLUS_t93Pf8WwDA==.pdf,data/extraction/ny_classification/case_41678/docling/documents/document_bu8_PLUS_YIwCyet_PLUS_t93Pf8WwDA==.docling.json,42,13;14,2
case_4620,data/cases/ny_classification/case_4620/documents/document_GM_KxFHDiPtzhdSwPJjX6Q==.pdf,data/extraction/ny_classification/case_4620/docling/documents/document_GM_KxFHDiPtzhdSwPJjX6Q==.docling.json,10,8,1
case_4969,data/cases/ny_classification/case_4969/documents/document_IfBYKQMcCUuDXFqNPbNkng==.pdf,data/extraction/ny_classification/case_4969/docling/documents/document_IfBYKQMcCUuDXFqNPbNkng==.docling.json,3,3,1
case_5222,data/cases/ny_classification/case_5222/documents/document_FBJNITxhMRXC_PLUS_3sBa3Ye_w==.pdf,data/extraction/ny_classification/case_5222/docling/documents/document_FBJNITxhMRXC_PLUS_3sBa3Ye_w==.docling.json,3,3,1
case_6907,data/cases/ny_classification/case_6907/documents/document_ylxU8i3aLw_PLUS_oSi662Foirg==.pdf,data/extraction/ny_classification/case_6907/docling/documents/document_ylxU8i3aLw_PLUS_oSi662Foirg==.docling.json,7,2;4,2
case_9120,data/cases/ny_classification/case_9120/documents/document_k7mUHCg6525Y9DrqYSsRrQ==.pdf,data/extraction/ny_classification/case_9120/docling/documents/document_k7mUHCg6525Y9DrqYSsRrQ==.docling.json,30,8;17,2
