case,case_id,found_by_crawl,scraped_rows,docs_with_link,docs_on_gcs,confirmations_with_link,confirmations_on_gcs,not_on_gcs_examples
case_15503,CV-704052-21/KI,1,1,1,1,0,0,
case_15504,CV-704053-21/KI,8,8,8,8,0,0,
case_15505,CV-704054-21/KI,8,8,8,8,0,0,
case_15506,CV-704055-21/KI,2,2,2,2,0,0,
case_15507,CV-704056-21/KI,2,2,2,2,0,0,
case_15508,CV-704057-21/KI,1,1,1,1,0,0,
case_15514,CV-704070-21/KI,1,1,1,1,0,0,
case_15523,CV-704080-21/KI,12,12,12,12,11,11,
case_15524,CV-704081-21/KI,12,12,12,12,0,0,
case_15525,CV-704082-21/KI,12,12,12,12,0,0,
case_15526,CV-704083-21/KI,1,1,1,1,0,0,
case_15527,CV-704084-21/KI,1,1,1,1,0,0,
case_15528,CV-704085-21/KI,1,1,1,1,0,0,
case_15529,CV-704086-21/KI,1,1,1,1,0,0,
case_15530,CV-704087-21/KI,1,1,1,1,0,0,
case_15533,CV-704092-21/KI,1,1,1,1,0,0,
case_15534,CV-704093-21/KI,2,2,2,2,0,0,
case_15535,CV-704094-21/KI,2,2,2,2,0,0,
case_15536,CV-704095-21/KI,1,1,1,1,0,0,
case_15537,CV-704096-21/KI,1,1,1,1,0,0,
case_15538,CV-704097-21/KI,11,11,11,11,9,9,
case_15539,CV-704098-21/KI,14,14,14,14,11,11,
case_15540,CV-704099-21/KI,16,16,16,16,15,15,
case_15541,CV-704100-21/KI,2,2,2,2,1,1,
case_15542,CV-704212-21/KI,1,1,1,1,0,0,
case_15544,CV-704214-21/KI,2,2,2,2,1,1,
case_15546,CV-704216-21/KI,2,2,2,2,1,1,
case_15548,CV-704239-21/KI,1,1,1,1,0,0,
case_15549,CV-704607-22/KI,17,17,17,17,1,1,
case_15550,CV-704609-22/KI,32,32,32,32,0,0,
case_15551,CV-704610-22/KI,20,20,20,20,2,2,
case_15552,CV-704612-22/KI,21,21,21,21,0,0,
case_15553,CV-704620-22/KI,2,2,2,2,0,0,
case_15554,CV-704621-22/KI,23,23,23,23,0,0,
case_15555,CV-704622-22/KI,21,21,21,21,0,0,
case_15556,CV-704623-22/KI,20,20,20,20,0,0,
case_15557,CV-704626-22/KI,18,18,18,18,0,0,
case_15558,CV-704629-22/KI,19,19,19,19,0,0,
case_15559,CV-704631-22/KI,23,23,23,23,0,0,
case_15560,CV-704632-22/KI,2,2,2,2,0,0,
case_15561,CV-704633-22/KI,21,21,21,21,0,0,
case_15562,CV-704634-22/KI,4,4,4,4,0,0,
case_15563,CV-704635-21/BX,1,1,1,1,0,0,
case_15564,CV-704635-22/KI,2,2,2,2,0,0,
case_15565,CV-704636-21/BX,1,1,1,1,0,0,
case_15566,CV-704636-22/KI,35,35,35,35,0,0,
case_15567,CV-704637-22/KI,6,6,6,6,0,0,
case_15568,CV-704638-22/KI,24,24,24,24,0,0,
case_15569,CV-704639-22/KI,2,2,2,2,0,0,
case_15570,CV-704640-21/BX,1,1,1,1,0,0,
case_15571,CV-704640-22/KI,22,22,22,22,0,0,
case_15572,CV-704641-22/KI,23,23,23,23,0,0,
case_15573,CV-704642-22/KI,20,20,20,20,0,0,
case_15574,CV-704643-22/KI,2,2,2,2,0,0,
case_15575,CV-704644-21/BX,19,19,19,19,0,0,
case_15576,CV-704644-22/KI,2,2,2,2,0,0,
case_15577,CV-704645-21/BX,1,1,1,1,0,0,
case_15578,CV-704645-22/KI,24,24,24,24,0,0,
case_15579,CV-704646-21/BX,1,1,1,1,0,0,
case_15580,CV-704646-22/KI,2,2,2,2,0,0,
case_15581,CV-704647-21/BX,24,24,24,24,0,0,
case_15582,CV-704649-21/BX,1,1,1,1,0,0,
case_15583,CV-704651-22/KI,22,22,22,22,0,0,
case_15584,CV-704652-22/KI,8,8,8,8,0,0,
case_15585,CV-704653-22/KI,8,8,8,8,0,0,
case_15586,CV-704654-22/KI,25,25,25,25,0,0,
case_15587,CV-704655-22/KI,24,24,24,24,0,0,
case_15588,CV-704657-22/KI,8,8,8,8,0,0,
case_15589,CV-704765-22/KI,20,20,20,20,4,4,
case_15595,CV-705154-22/KI,2,2,2,2,1,1,
case_15598,CV-705398-22/KI,20,20,20,20,19,19,
case_15599,CV-705404-22/KI,15,15,15,15,2,2,
case_15600,CV-705405-22/KI,23,23,23,23,0,0,
case_15601,CV-706613-21/KI,2,2,2,2,0,0,
case_15602,CV-706744-21/KI,1,1,1,1,0,0,
case_15603,CV-706748-21/KI,1,1,1,1,0,0,
case_15604,CV-706749-21/KI,1,1,1,1,0,0,
case_15605,CV-706750-21/KI,1,1,1,1,0,0,
case_15606,CV-706752-21/KI,11,11,11,11,0,0,
case_15607,CV-706754-21/KI,11,11,11,11,0,0,
case_15608,CV-706763-21/KI,1,1,1,1,0,0,
case_15609,CV-706765-21/KI,1,1,1,1,0,0,
case_15610,CV-706767-21/KI,1,1,1,1,0,0,
case_15611,CV-706769-21/KI,1,1,1,1,0,0,
case_15612,CV-706774-21/KI,18,18,18,18,0,0,
case_15613,CV-706775-21/KI,11,11,11,11,0,0,
case_15614,CV-706776-21/KI,1,1,1,1,0,0,
case_15615,CV-706777-21/KI,1,1,1,1,0,0,
case_15616,CV-706778-21/KI,1,1,1,1,0,0,
case_15617,CV-706779-21/KI,1,1,1,1,0,0,
case_15618,CV-706780-21/KI,1,1,1,1,0,0,
case_15619,CV-706843-21/KI,1,1,1,1,0,0,
case_15620,CV-706844-21/KI,1,1,1,1,0,0,
case_15621,CV-706845-21/KI,1,1,1,1,0,0,
case_15622,CV-706846-21/KI,1,1,1,1,0,0,
case_15623,CV-706847-21/KI,1,1,1,1,0,0,
case_15624,CV-706855-21/KI,1,1,1,1,0,0,
case_15625,CV-706861-21/KI,15,15,15,15,0,0,
case_15626,CV-706862-21/KI,8,8,8,8,0,0,
case_15627,CV-706863-21/KI,4,4,4,4,0,0,
case_15628,CV-706864-21/KI,1,1,1,1,0,0,
case_15629,CV-706865-21/KI,1,1,1,1,0,0,
case_15630,CV-706866-21/KI,2,2,2,2,0,0,
case_15631,CV-706867-21/KI,1,1,1,1,0,0,
case_15632,CV-706868-21/KI,1,1,1,1,0,0,
case_15633,CV-706869-21/KI,1,1,1,1,0,0,
case_15634,CV-706870-21/KI,1,1,1,1,0,0,
case_15635,CV-706871-21/KI,1,1,1,1,0,0,
case_15636,CV-706872-21/KI,1,1,1,1,0,0,
case_15637,CV-706873-21/KI,18,18,18,18,0,0,
case_15638,CV-706874-21/KI,1,1,1,1,0,0,
case_15639,CV-706875-21/KI,1,1,1,1,0,0,
case_15640,CV-706876-21/KI,17,17,17,17,0,0,
case_15641,CV-706877-21/KI,1,1,1,1,0,0,
case_15642,CV-706878-21/KI,1,1,1,1,0,0,
case_15643,CV-706879-21/KI,1,1,1,1,0,0,
case_15644,CV-706881-21/KI,1,1,1,1,0,0,
case_15645,CV-706882-21/KI,1,1,1,1,0,0,
case_15646,CV-706883-21/KI,1,1,1,1,0,0,
case_15647,CV-706884-21/KI,1,1,1,1,0,0,
case_15648,CV-706885-21/KI,1,1,1,1,0,0,
case_15649,CV-706886-21/KI,5,5,5,5,0,0,
case_15650,CV-706887-21/KI,10,10,10,10,0,0,
case_15651,CV-706888-21/KI,1,1,1,1,0,0,
case_15652,CV-706889-21/KI,1,1,1,1,0,0,
case_15653,CV-706890-21/KI,1,1,1,1,0,0,
case_15654,CV-706891-21/KI,1,1,1,1,0,0,
case_15655,CV-706892-21/KI,1,1,1,1,0,0,
case_15656,CV-706893-21/KI,1,1,1,1,0,0,
case_15657,CV-706894-21/KI,4,4,4,4,0,0,
case_15658,CV-706895-21/KI,1,1,1,1,0,0,
case_15659,CV-706896-21/KI,1,1,1,1,0,0,
case_15660,CV-706897-21/KI,1,1,1,1,0,0,
case_15661,CV-706898-21/KI,1,1,1,1,0,0,
case_15662,CV-706899-21/KI,1,1,1,1,0,0,
case_15663,CV-706900-21/KI,1,1,1,1,0,0,
case_15664,CV-706906-21/KI,1,1,1,1,0,0,
case_15665,CV-706907-21/KI,1,1,1,1,0,0,
case_15666,CV-706908-21/KI,1,1,1,1,0,0,
case_15667,CV-706910-21/KI,1,1,1,1,0,0,
case_15668,CV-706911-21/KI,1,1,1,1,0,0,
case_15669,CV-706912-21/KI,1,1,1,1,0,0,
case_15670,CV-706917-21/KI,1,1,1,1,0,0,
case_15671,CV-706920-21/KI,1,1,1,1,0,0,
case_15672,CV-706922-21/KI,1,1,1,1,0,0,
case_15673,CV-706923-21/KI,1,1,1,1,0,0,
case_15674,CV-706924-21/KI,12,12,12,12,0,0,
case_15675,CV-706925-21/KI,21,21,21,21,0,0,
case_15676,CV-706926-21/KI,23,23,23,23,7,7,
case_15705,CV-707219-21/KI,1,1,1,1,0,0,
case_15706,CV-707220-21/KI,3,3,3,3,1,1,
case_15707,CV-707221-21/KI,3,3,3,3,0,0,
case_15708,CV-707222-21/KI,1,1,1,1,0,0,
case_15709,CV-707328-21/KI,9,9,9,9,1,1,
case_15710,CV-707350-21/KI,1,1,1,1,0,0,
case_15711,CV-707361-21/KI,30,30,30,30,0,0,
case_15712,CV-707362-21/KI,24,24,24,24,0,0,
case_15713,CV-707363-21/KI,1,1,1,1,0,0,
case_15714,CV-707364-21/KI,1,1,1,1,0,0,
case_15715,CV-707365-21/KI,1,1,1,1,0,0,
case_15716,CV-707366-21/KI,1,1,1,1,0,0,
case_15717,CV-707367-21/KI,1,1,1,1,0,0,
case_15718,CV-707368-21/KI,1,1,1,1,0,0,
case_15719,CV-707369-21/KI,1,1,1,1,0,0,
case_15720,CV-707370-21/KI,1,1,1,1,0,0,
case_15721,CV-707371-21/KI,1,1,1,1,0,0,
case_15722,CV-707372-21/KI,5,5,5,5,0,0,
case_15723,CV-707373-21/KI,5,5,5,5,0,0,
case_15724,CV-707374-21/KI,3,3,3,3,0,0,
case_15725,CV-707375-21/KI,2,2,2,2,0,0,
case_15726,CV-707376-21/KI,1,1,1,1,0,0,
case_15727,CV-707377-21/KI,31,31,31,31,0,0,
case_15728,CV-707378-21/KI,16,16,16,16,0,0,
case_15729,CV-707379-21/KI,5,5,5,5,0,0,
case_15730,CV-707380-21/KI,1,1,1,1,0,0,
case_15731,CV-707381-21/KI,1,1,1,1,0,0,
case_15732,CV-707382-21/KI,7,7,7,7,0,0,
case_15733,CV-707383-21/KI,1,1,1,1,0,0,
case_15734,CV-707384-21/KI,1,1,1,1,0,0,
case_15735,CV-707385-21/KI,1,1,1,1,0,0,
case_15736,CV-707386-21/KI,1,1,1,1,0,0,
case_15737,CV-707387-21/KI,1,1,1,1,0,0,
case_15738,CV-707388-21/KI,2,2,2,2,0,0,
case_15739,CV-707389-21/KI,4,4,4,4,0,0,
case_15740,CV-707390-21/KI,1,1,1,1,0,0,
case_15741,CV-707391-21/KI,4,4,4,4,0,0,
case_15742,CV-707392-21/KI,1,1,1,1,0,0,
case_15743,CV-707393-21/KI,1,1,1,1,0,0,
case_15744,CV-707394-21/KI,1,1,1,1,0,0,
case_15745,CV-707397-21/KI,1,1,1,1,0,0,
case_15746,CV-707858-22/KI,20,20,20,20,0,0,
case_15747,CV-707861-22/KI,21,21,21,21,0,0,
case_15748,CV-707864-22/KI,15,15,15,15,0,0,
case_15749,CV-708767-22/KI,19,19,19,19,0,0,
case_15750,CV-708768-22/KI,19,19,19,19,0,0,
case_15751,CV-708769-22/KI,20,20,20,20,0,0,
case_15752,CV-711339-21/BX,2,2,2,2,0,0,
case_15753,CV-711340-21/BX,3,3,3,3,0,0,
case_15754,CV-711341-21/BX,1,1,1,1,0,0,
case_15755,CV-711342-21/BX,13,13,13,13,0,0,
case_15756,CV-711343-21/BX,1,1,1,1,0,0,
case_15757,CV-711783-21/KI,6,6,6,6,0,0,
case_15758,CV-711784-21/KI,6,6,6,6,0,0,
case_15759,CV-711795-21/KI,9,9,9,9,0,0,
case_15760,CV-711823-21/KI,3,3,3,3,0,0,
case_15761,CV-711827-21/KI,8,8,8,8,0,0,
case_15762,CV-711843-21/KI,28,28,28,28,0,0,
case_15763,CV-711844-21/KI,21,21,21,21,0,0,
case_15764,CV-711845-21/KI,21,21,21,21,0,0,
case_15765,CV-712002-21/KI,1,1,1,1,0,0,
case_15766,CV-712150-21/KI,32,32,32,32,0,0,
case_15767,CV-712152-21/KI,11,11,11,11,0,0,
case_15768,CV-712153-21/KI,3,3,3,3,0,0,
case_15769,CV-712290-21/KI,23,23,23,23,0,0,
case_15770,CV-712320-21/KI,2,2,2,2,0,0,
case_15771,CV-712321-21/KI,2,2,2,2,0,0,
case_15772,CV-712908-21/KI,8,8,8,8,0,0,
case_15773,CV-713057-21/KI,2,2,2,2,0,0,
case_15774,CV-713144-21/KI,6,6,6,6,0,0,
case_15775,CV-713145-21/KI,6,6,6,6,0,0,
case_15776,CV-713146-21/KI,7,7,7,7,0,0,
case_15777,CV-714004-21/KI,1,1,1,1,0,0,
case_15778,CV-714005-21/KI,1,1,1,1,0,0,
case_15779,CV-714007-21/KI,1,1,1,1,0,0,
case_15780,CV-714008-21/KI,1,1,1,1,0,0,
case_15781,CV-714009-21/KI,1,1,1,1,0,0,
case_15782,CV-714010-21/KI,1,1,1,1,0,0,
case_15783,CV-714019-21/KI,1,1,1,1,0,0,
case_15784,CV-714020-21/KI,2,2,2,2,0,0,
case_15785,CV-714021-21/KI,1,1,1,1,0,0,
case_15786,CV-714022-21/KI,15,15,15,15,0,0,
case_15787,CV-714023-21/KI,1,1,1,1,0,0,
case_15788,CV-714024-21/KI,1,1,1,1,0,0,
case_15789,CV-714025-21/KI,1,1,1,1,0,0,
case_15790,CV-714026-21/KI,1,1,1,1,0,0,
case_15791,CV-714027-21/KI,1,1,1,1,0,0,
case_15792,CV-714028-21/KI,1,1,1,1,0,0,
case_15793,CV-714029-21/KI,1,1,1,1,0,0,
case_15794,CV-714030-21/KI,1,1,1,1,0,0,
case_15795,CV-714034-21/KI,2,2,2,2,0,0,
case_15796,CV-714035-21/KI,2,2,2,2,0,0,
case_15797,CV-714036-21/KI,3,3,3,3,0,0,
case_15798,CV-714037-21/KI,1,1,1,1,0,0,
case_15799,CV-714038-21/KI,1,1,1,1,0,0,
case_15800,CV-714039-21/KI,1,1,1,1,0,0,
case_15801,CV-714040-21/KI,1,1,1,1,0,0,
case_15802,CV-714041-21/KI,1,1,1,1,0,0,
case_15803,CV-714042-21/KI,17,17,17,17,0,0,
case_15804,CV-714043-21/KI,14,14,14,14,0,0,
case_15805,CV-714044-21/KI,1,1,1,1,0,0,
case_15806,CV-714045-21/KI,1,1,1,1,0,0,
case_15807,CV-714046-21/KI,3,3,3,3,0,0,
case_15808,CV-714047-21/KI,3,3,3,3,0,0,
case_15809,CV-714048-21/KI,1,1,1,1,0,0,
case_15810,CV-714068-21/KI,1,1,1,1,0,0,
case_15811,CV-714069-21/KI,1,1,1,1,0,0,
case_15812,CV-714071-21/KI,1,1,1,1,0,0,
case_15813,CV-714072-21/KI,3,3,3,3,0,0,
case_15814,CV-714101-21/KI,3,3,3,3,0,0,
case_15815,CV-714102-21/KI,1,1,1,1,0,0,
case_15816,CV-714103-21/KI,1,1,1,1,0,0,
case_15817,CV-714105-21/KI,3,3,3,3,0,0,
case_15818,CV-714106-21/KI,1,1,1,1,0,0,
case_15819,CV-714107-21/KI,1,1,1,1,0,0,
case_15820,CV-714108-21/KI,1,1,1,1,0,0,
case_15821,CV-714162-21/KI,1,1,1,1,0,0,
case_15822,CV-714164-21/KI,3,3,3,3,0,0,
case_15823,CV-714165-21/KI,1,1,1,1,0,0,
case_15824,CV-714180-21/KI,1,1,1,1,0,0,
case_15825,CV-714181-21/KI,1,1,1,1,0,0,
case_15826,CV-714182-21/KI,1,1,1,1,0,0,
case_15827,CV-714183-21/KI,1,1,1,1,0,0,
case_15828,CV-714184-21/KI,1,1,1,1,0,0,
case_15829,CV-714185-21/KI,1,1,1,1,0,0,
case_15830,CV-714197-21/KI,1,1,1,1,0,0,
case_15831,CV-714198-21/KI,12,12,12,12,0,0,
case_15832,CV-714199-21/KI,3,3,3,3,0,0,
case_15833,CV-714200-21/KI,1,1,1,1,0,0,
case_15834,CV-714281-22/KI,2,2,2,2,0,0,
case_15835,CV-714282-22/KI,2,2,2,2,0,0,
case_15836,CV-714283-22/KI,2,2,2,2,0,0,
case_15837,CV-714284-22/KI,2,2,2,2,0,0,
case_15838,CV-714285-22/KI,2,2,2,2,0,0,
case_15839,CV-714287-22/KI,2,2,2,2,0,0,
case_15840,CV-714293-22/KI,2,2,2,2,0,0,
case_15841,CV-714295-22/KI,2,2,2,2,0,0,
case_15842,CV-714301-21/KI,1,1,1,1,0,0,
case_15843,CV-714302-21/KI,1,1,1,1,0,0,
case_15844,CV-714303-21/KI,2,2,2,2,0,0,
case_15845,CV-714304-21/KI,3,3,3,3,0,0,
case_15846,CV-714305-21/KI,1,1,1,1,0,0,
case_15847,CV-714306-21/KI,1,1,1,1,0,0,
case_15848,CV-714307-21/KI,1,1,1,1,0,0,
case_15849,CV-714308-21/KI,1,1,1,1,0,0,
case_15850,CV-714309-21/KI,1,1,1,1,0,0,
case_15851,CV-714310-21/KI,1,1,1,1,0,0,
case_15852,CV-714311-21/KI,1,1,1,1,0,0,
case_15853,CV-714312-21/KI,1,1,1,1,0,0,
case_15854,CV-714313-21/KI,1,1,1,1,0,0,
case_15855,CV-714314-21/KI,1,1,1,1,0,0,
case_15856,CV-714315-21/KI,28,28,28,28,0,0,
case_15857,CV-714316-21/KI,1,1,1,1,0,0,
case_15858,CV-714317-21/KI,1,1,1,1,0,0,
case_15859,CV-714318-21/KI,1,1,1,1,0,0,
case_15860,CV-714319-21/KI,1,1,1,1,0,0,
case_15861,CV-714320-21/KI,1,1,1,1,0,0,
case_15862,CV-714321-21/KI,1,1,1,1,0,0,
case_15863,CV-714342-21/KI,1,1,1,1,0,0,
case_15864,CV-714343-21/KI,1,1,1,1,0,0,
case_15865,CV-714346-21/KI,1,1,1,1,0,0,
case_15866,CV-714347-21/KI,1,1,1,1,0,0,
case_15867,CV-714348-21/KI,1,1,1,1,0,0,
case_15868,CV-714349-21/KI,1,1,1,1,0,0,
case_15869,CV-714351-21/KI,3,3,3,3,0,0,
case_15870,CV-714632-21/KI,1,1,1,1,0,0,
case_15871,CV-714633-21/KI,1,1,1,1,0,0,
case_15872,CV-714634-21/KI,1,1,1,1,0,0,
case_15873,CV-714635-21/KI,1,1,1,1,0,0,
case_15874,CV-714636-21/KI,3,3,3,3,0,0,
case_15875,CV-714637-21/KI,3,3,3,3,0,0,
case_15876,CV-714638-21/KI,1,1,1,1,0,0,
case_15877,CV-714639-21/KI,3,3,3,3,0,0,
case_15878,CV-714640-21/KI,1,1,1,1,0,0,
case_15879,CV-714641-21/KI,1,1,1,1,0,0,
case_15880,CV-714642-21/KI,1,1,1,1,0,0,
case_15881,CV-714643-21/KI,1,1,1,1,0,0,
case_15882,CV-714644-21/KI,1,1,1,1,0,0,
case_15883,CV-714645-21/KI,1,1,1,1,0,0,
case_15884,CV-714646-21/KI,3,3,3,3,0,0,
case_15885,CV-714647-21/KI,1,1,1,1,0,0,
case_15886,CV-714648-21/KI,1,1,1,1,0,0,
case_15887,CV-714649-21/KI,1,1,1,1,0,0,
case_15888,CV-714650-21/KI,1,1,1,1,0,0,
case_15889,CV-714651-21/KI,1,1,1,1,0,0,
case_15890,CV-714652-21/KI,1,1,1,1,0,0,
case_15891,CV-714653-21/KI,1,1,1,1,0,0,
case_15892,CV-714654-21/KI,1,1,1,1,0,0,
case_15893,CV-714655-21/KI,18,18,18,18,0,0,
case_15894,CV-714656-21/KI,1,1,1,1,0,0,
case_15895,CV-714657-21/KI,23,23,23,23,0,0,
case_15896,CV-714658-21/KI,1,1,1,1,0,0,
case_15897,CV-714659-21/KI,1,1,1,1,0,0,
case_15898,CV-714660-21/KI,1,1,1,1,0,0,
case_15899,CV-714661-21/KI,1,1,1,1,0,0,
case_15900,CV-714676-21/KI,1,1,1,1,0,0,
case_15901,CV-714677-21/KI,1,1,1,1,0,0,
case_15902,CV-714678-21/KI,1,1,1,1,0,0,
